iter	MAPE	RMSE
0	0.2156848825	0.2582474027
1	0.2138518009	0.2561616038
2	0.2132715039	0.2554215622
3	0.2127512969	0.2547583067
4	0.2121023625	0.2540295786
5	0.2111526603	0.2530514433
6	0.2107444039	0.2525703342
7	0.2098794538	0.2516617116
8	0.2085607681	0.2500176147
9	0.2073946893	0.2484453048
10	0.2065214899	0.2472798391
11	0.2053542679	0.2457797724
12	0.2049484299	0.2450441186
13	0.2033584015	0.243074381
14	0.2030934837	0.242798929
15	0.2027191854	0.2423766362
16	0.2023365124	0.2419001309
17	0.2016569434	0.2407632565
18	0.2015001757	0.240587871
19	0.2007349946	0.2395630619
20	0.200696245	0.2394476383
21	0.1996402673	0.2384773819
22	0.1984086954	0.2368125332
23	0.198174812	0.2364246942
24	0.1969824518	0.2351103002
25	0.1957072815	0.2336125041
26	0.1940618763	0.2317722857
27	0.1923275126	0.2297387747
28	0.1914270404	0.228668601
29	0.1906163575	0.2278732116
30	0.1901225178	0.2272155808
31	0.1886167949	0.2256135668
32	0.1883158134	0.2252933919
33	0.1876264972	0.2245752273
34	0.1860557222	0.2228387629
35	0.1855053202	0.222084465
36	0.1844731679	0.2209593674
37	0.1837683524	0.2201400731
38	0.1829115467	0.2192286763
39	0.1825540623	0.2188030982
40	0.1824663421	0.2186401861
41	0.1818234526	0.2180461282
42	0.1816552508	0.2179152526
43	0.1814113917	0.2176304836
44	0.1807630191	0.2167829866
45	0.1803054311	0.2163178671
46	0.1796571333	0.2155226517
47	0.1787036111	0.2145019607
48	0.1773676736	0.2127922109
49	0.1766611039	0.2119865306
